adj-noun phrase frequencies
adj-noun phrases,frequencies
18th brumaire,1
active one,1
advantageous style,1
affected sympathy,1
affectionate eyes,1
alarmed glance,1
amiable mood,1
amused smile,1
angry look,1
angry tears,1
anonymous volunteer,1
anxious watch,1
appealing smile,1
argumentative fellow,1
artificial expression,1
astonished narrator,1
attractive woman,1
average height,1
backward movement,1
bald patch,1
beautiful bosom,1
beautiful daughter,1
beautiful eyes,1
beautiful face,1
beautiful figure,1
beautiful head,1
beautiful hélène,2
beautiful sister,1
best families,1
best society,1
best way,1
better today,1
big feet,1
big house,1
big ones,1
blue eyes,2
bored expression,1
bright smile,1
brilliant position,1
brilliant society,1
broad ribbon,1
brown dress,1
calm manner,1
careworn face,2
caustic wit,1
chained convict,1
charming children,1
charming defect,1
charming soiree,1
charming wife,1
christian mildness,1
civil service,1
classic beauty,1
clever conversation,1
clever maître,1
constant expression,1
constant gleam,1
constant smile,1
continual consciousness,1
conventional things,1
conversational machine,1
coquettish girl,1
cruel fate,1
curly hair,2
curly head,1
dear benefactor,2
dear fellow,5
dear friend,1
dear ones,1
dear vicomte,1
definite meaning,1
delicate dark,1
delightful associations,1
delightful evening,1
delightful woman,1
deserted street,1
devoted slave,1
different matter,1
different sides,1
disagreeable tone,1
distinct smiles,1
distinguished air,1
dowager empress,3
drunken gesture,1
drunken voices,1
easy chair,1
easy chairs,1
easy grace,1
ecstatic smile,1
elderly lady,4
eldest daughter,1
embittered look,1
embroidered court,1
enchanted circle,1
english ambassador,1
excellent woman,1
extensive reading,1
extraordinary resemblance,1
faint smile,1
faithful slave,2
familiar voices,1
famous actress,1
famous prince,1
fascinating woman,1
feminine arts,1
feminine society,1
fine fellow,1
firm pressure,1
first appearance,1
first book,1
first moment,1
first room,1
first secretary,1
first steps,1
first time,2
flat face,1
free hand,1
french families,1
french people,1
french phrases,1
french sentences,1
french society,2
friendly way,1
frigid politeness,1
full force,1
full swing,1
garnished joint,1
general commotion,1
general good,1
general movement,1
glossy hair,1
good family,2
good man,1
good night,1
good ones,1
good terms,1
grand thing,2
gray hairs,1
great man,3
great wind,1
great world,1
greatest man,1
greatest war,1
green dress,1
handsome face,2
high ruffle,1
high vocation,1
highest degree,1
hot dish,1
illegitimate son,2
imperial family,1
influential connections,1
inner rooms,1
innocent airs,1
intellectual lights,1
interesting man,1
interesting men,1
intimate acquaintance,1
ironical voice,1
large bows,1
large gatherings,1
large house,1
large marble,1
larger circle,1
last consideration,1
last drop,1
last syllable,1
late emperor,1
latest comedy,1
latest fashion,1
least idea,1
lighted porch,1
like expression,2
little lip,1
little officer,1
little person,1
little princess,13
little table,1
little wife,1
live man,1
liveried footman,1
long hair,1
long time,1
long way,1
low fellow,1
low tone,1
low voice,1
lower lip,1
lowest hierarchy,1
luxurious dining,1
many others,1
measured step,1
medium height,3
melancholy expression,1
minded eagerness,1
modest expression,1
momentary silence,1
mon dieu,2
more noise,1
mournful tone,1
much gravity,1
natured expression,1
natured fellow,1
nervous agitation,1
nervous excitement,1
new arrival,1
new word,1
next arrivals,1
next balls,1
next room,1
noblest role,1
noisy group,1
notorious gambler,1
old aunt,2
old lady,1
old maids,1
old men,1
old regime,1
old woman,1
only anxiety,1
only difference,1
only son,2
open cab,1
open door,1
open mouth,1
open window,1
ordinary man,1
oriental type,1
other acts,1
other day,1
other men,2
other people,1
other table,2
outer ledge,1
outer sill,1
own conviction,1
own form,1
own impetuosity,1
own magnanimity,1
own superiority,1
own thoughts,1
own views,1
peculiar form,1
peculiarly choice,1
perpetual peace,2
pet theory,1
philosophical meditation,1
piteous look,1
playful tone,1
pleasant feeling,1
pleasant smile,1
pleased smile,1
political matters,1
political necessity,1
political power,1
poor boy,1
poor creature,1
poor girl,1
poor husband,1
poor invalid,1
powerful nation,1
present time,1
pretty face,1
pretty wife,1
pretty women,1
previous winter,1
private person,1
prodigal son,1
proper motion,1
provocative proposition,1
public opinion,1
quiet fool,1
radiant face,1
radiant smile,1
rare women,1
real state,1
reassuring thoughts,1
red hands,1
refined expression,1
regular motion,1
reverse act,1
rich relations,1
right light,1
rightful king,2
round arm,2
russian climate,1
russian ladies,1
sacrilegious words,1
same expression,1
same position,1
same thing,1
same time,1
same tone,2
same voice,1
same words,1
sarcastic smile,1
second appeal,1
secret motive,1
serene expression,1
serious talk,1
several voices,2
sharp wedge,1
shaven face,1
short downy,1
short pause,1
short silence,1
silent approval,1
silent praise,1
silly look,1
simplest relations,1
sincere devotion,1
slight rearrangement,1
slight rustle,1
slightest variation,1
small hand,1
small means,1
small reception,1
small receptions,1
small talk,1
social circle,1
social experience,1
social tact,1
social topics,1
social vocation,1
soft features,1
solemn interest,1
splendid children,1
spoiled child,1
spoiled life,1
striking contrast,1
striking feature,1
subdued smile,1
subtle smile,1
such men,1
such self,1
such surprise,1
terrible chap,1
terrified whisper,1
thin face,1
third floor,1
third group,1
third room,1
tipsy guests,1
true colors,1
unamiable outburst,1
unchanging smile,2
une dame,1
unfortunate fete,1
unnatural positions,1
upper lip,3
usual familiarity,1
usual set,1
very evening,1
very heels,1
very qualities,1
vexatious duty,1
victorious beauty,1
vigorous attack,1
virulent attack,1
watchful eye,1
weak character,1
wearied grimace,1
well—“i bet,1
white dress,1
white shirt,1
white shoulders,1
white teeth,1
whole body,2
whole bottle,1
whole company,2
whole evening,2
whole family,1
whole month,1
whole nation,1
whole set,1
whole story,1
whole world,2
wicked trick,1
wonderful raconteur,1
wonderful sovereign,1
wretched war,1
young bear,1
young jacobin,1
young lad,1
young man,8
young men,3
young ones,1
young people,2
young princess,1
young woman,1
young women,1
younger son,1
youngest daughter,1
