Person Name Frequencies
Person Names,Frequencies
anatole,8
anatole lived,1
andrew,9
anna,1
anna mikháylovna,3
anna pávlovna,18
beaucoup,1
bolkónskaya,2
bonaparte,5
buonaparte,5
cap,1
cher,1
chiefly masculine,1
clearcut features,1
comme il faut,1
courtierlike quickness,1
david widger,1
dieu,2
dmítri vasílevich,1
drubetskáya,2
dólokhov,23
d’hôtel,1
elizabeth,1
england,1
engrêlé de gueules d’azur,1
glass,1
god,1
golítsyn,1
guai a chi la,1
hardenburg,1
hippolyte,3
hélène,1
invalid,1
jacob,1
jacobin,1
kurágin,5
la donne,1
lavater,1
leo tolstoy,2
lise meinen,1
ma chère,1
ma chère”—he,1
mademoiselle george,2
maison condé,1
malta,1
marry,1
mary bolkónskaya,1
maude,1
merry smile,1
michael ilariónovich,1
monsieur buonaparte,2
monsieur pierre,7
mortemart,1
nataly,1
papa,2
pierre,86
prince,1
prince andrew,23
prince andrew dryly,1
prince andrew rose,2
prince andrew’s,2
prince hippolyte,6
propos,1
prussia,1
sill,2
stevens,1
séduisante de pétersbourg,1
"vi

    ",4
"xi

    ",1
"xii

    ",1
"xiii

    ",11
"xix

    ",5
"xvii

    ",8
"xviii

    ",8
"xx

    chapter xxi

    chapter",5
"xxiv

    ",2
"xxviii

    ",1
"xxxii

    ",2
"xxxiii

    ",2
"xxxiv

    ",1
"xxxv

    ",1
"xxxvi

    chapter",1
"xxxviii

    chapter",1
