Noun Frequencies
Nouns,Frequencies
-,5
abbé,5
abbé ,5
ability ,1
abnegation ,1
abuses,1
account,1
accounts ,1
acquaintance,1
act ,1
actions,1
actions ,1
actor ,1
actress,1
acts,1
acts ,1
adjutants,1
advice,1
affair ,2
affectation ,1
afterglow ,1
age,2
age ,2
agitation ,1
aide,3
aim ,1
air,1
air ,5
airs,1
airs ,1
alarm ,1
alcohol,1
alexander,2
alliance ,1
amazement,1
ambassador,4
ambassadors ,1
anarchy,1
anatole,1
anatole ,6
anecdote,2
anecdote ,1
animal,1
animation,1
animation ,1
annoyance ,1
answer,1
answer ,2
antechambers ,1
anteroom,3
anteroom ,1
antichrist,1
anxiety,1
anxiety ,3
appeal,1
appearance ,2
appointment,1
appointment ,2
appreciation ,1
apprenticeship ,1
approval,1
apráksins,1
aristocracy ,1
arm,6
arm ,4
armchair,1
arms,4
arms ,3
army,1
army ,1
arrival ,2
arrivals ,1
arts,1
askance ,1
assassination ,1
assault,1
associations,1
attack,1
attack ,1
attention,1
attention ,1
audience,2
audience ,1
aunt,4
aunt ,6
author,1
awkwardness ,2
aylmer ,1
badge ,1
bag,1
bag ,1
balance,1
balance ,4
ball ,2
ballroom ,1
balls,2
bane ,1
baron,1
baron ,1
barracks,1
bear,3
bear ,1
beaucoup ,1
beauty,2
beauty ,1
bed ,1
beef,1
behalf ,4
benefactor,3
bent,1
bet,2
bet ,4
betrayal ,1
bets,1
bit,3
bit ,1
blood ,1
boats,1
body,1
body ,2
bolkónskaya,1
book ,15
bore,2
borís ,1
bosom,2
bottle,6
bottle ,11
bottles,1
bourbon ,1
bourbons ,2
bout,1
bows,1
bows ,1
boy,1
bragging,1
breast,1
breast ,1
breeches,1
breeches ,2
bridge ,1
brilliancy ,1
brother,1
brows ,1
bruin,1
bruin ,1
brumaire,1
bump ,1
buonapartes,1
buonapartists ,1
burden ,1
business,1
buttons,1
cab ,1
calls,1
camp ,2
candles ,1
cap,1
capacity ,2
capital,2
capital ,1
cards ,2
career,2
career ,1
carelessness ,1
cares ,1
carriage,5
carriage ,1
case,1
case ,2
catherine,1
cause,1
celebrity ,1
center ,2
ceremony ,1
chain ,1
chair,1
chair ,3
chairs,1
chairs ,1
challenge ,1
chap ,1
chapter ,84
character,1
character ,2
chatter,1
chatter ,1
chief,1
child,2
child ,1
childbearing,1
childhood ,1
childlike,1
children,2
children ,2
choice,1
choice ,3
choicest,1
circle,1
circle ,5
citizenship,1
citizenship ,1
clearheadedness,1
climate,2
cloak,3
cloak ,1
cloaks,1
clock,1
cloudless,1
coat,3
coat ,2
cold,1
collar,1
color ,1
colors,1
comedy,1
comedy ,1
commander ,1
commendation ,1
commentaries,1
commotion,1
company,1
company ,3
comply,1
conduct ,1
confidence,1
confidence ,1
connection ,1
connections,2
conscience,1
consciousness ,1
consent ,1
conservatory ,1
consideration ,1
contrary,2
contrary ,1
contrast ,1
conversation,4
conversation ,8
converse ,1
convict,1
conviction,1
conviction ,1
coquetry,1
coquettish ,1
corner ,1
corners ,1
cornet,2
coronation ,1
cost ,1
cough ,1
count ,1
country,3
course,1
court,1
court ,2
crash,1
creaks ,1
creature,1
cross ,1
crossbeam,1
culture ,1
cup ,1
current ,2
damask,1
dame,1
dark ,1
date,1
daughter,5
daughter ,5
dawn ,1
day,1
day ,6
days,1
days ,1
de,3
dear,2
dear ,1
death,1
debauchery,1
decisions ,1
deed,1
defect,2
defect ,1
degree ,1
delicacy ,1
despair,1
destiny ,1
devil ,1
devotion ,2
diamond ,1
diamonds,1
dieu,4
difference ,1
difficulty,1
dignity,1
dining ,2
dinner,2
dinner ,1
diplomatist,1
direction,1
directions ,1
dish,1
dishonor ,1
dismay ,1
dispatch,1
disposal ,1
dissipation,1
dissipation ,1
distance,1
doctor ,1
dog ,1
door,3
downy ,1
draught,1
drawing,1
drawing ,12
dress,4
dress ,8
drinking ,1
drooping ,1
drop ,1
drubetskáya,2
duc,2
duc ,6
duelist,1
duties ,2
duty,1
duty ,1
dólokhov,2
dólokhov ,4
eagerness,1
earth,2
ebook ,4
education,1
effect,1
effect ,4
effort,1
effort ,1
egotists,1
elbow,1
elbows ,1
elder ,1
elite,1
emancipation ,1
embarrassment ,1
emigrant,1
emperor,8
emperor ,4
empress,2
empress ,5
