noun-noun phrase frequencies
noun-noun phrases,frequencies
﻿,1
the project,1
gutenberg ebook,1
war,1
peace,1
leo tolstoy,1
this ebook,1
the use,1
anyone,1
no cost,1
"almost
no restrictions",1
you,1
it,1
it,1
the terms,1
the project gutenberg license,1
"this
ebook",1
online,1
www.gutenberg.org,1
title,1
war,1
peace,1
author,1
: leo tolstoy,1
translators,1
louise and aylmer maude,1
date,1
"january 21, 2019

language",1
"english

character",1
encoding,1
* start,1
this project,1
gutenberg,1
war,1
peace,1
an anonymous volunteer,1
david widger,1
war,1
peace,1
"leo tolstoy/tolstoi





    contents",1
book,1
chapter,1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
xii,1
chapter xiii,1
"chapter xiv

    chapter",1
xv,1
chapter xvi,1
chapter xvii,1
chapter xviii,1
chapter xix,1
chapter xx,1
chapter xxi,1
chapter xxii,1
chapter xxiii,1
"chapter xxiv

    chapter xxv

    chapter",1
chapter xxvii,1
chapter xxviii,1
book,1
chapter,1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
xii,1
chapter xiii,1
"chapter xiv

    chapter",1
xv,1
chapter xvi,1
chapter xvii,1
chapter xviii,1
chapter xix,1
chapter xx,1
chapter xxi,1
book,1
chapter,1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
xii,1
chapter xiii,1
"chapter xiv

    chapter",1
xv,1
chapter xvi,1
chapter xvii,1
chapter xviii,1
chapter xix,1
book,1
chapter,1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
xii,1
chapter xiii,1
"chapter xiv

    chapter",1
xv,1
chapter xvi,1
book,1
"1806 - 07

    chapter",1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
xii,1
chapter xiii,1
"chapter xiv

    chapter",1
xv,1
chapter xvi,1
chapter xvii,1
chapter xviii,1
chapter xix,1
chapter xx,1
chapter xxi,1
chapter xxii,1
book,1
": 1808 - 10

    chapter",1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
xii,1
chapter xiii,1
"chapter xiv

    chapter",1
xv,1
chapter xvi,1
chapter xvii,1
chapter xviii,1
chapter xix,1
chapter xx,1
chapter xxi,1
chapter xxii,1
chapter xxiii,1
"chapter xxiv

    chapter xxv

    chapter",1
xxvi,1
book,1
"1810 - 11

    chapter",1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
xii,1
chapter xiii,1
book,1
"1811 - 12

    chapter",1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
xii,1
chapter xiii,1
"chapter xiv

    chapter",1
xv,1
chapter xvi,1
chapter xvii,1
chapter xviii,1
chapter xix,1
chapter xx,1
chapter xxi,1
chapter xxii,1
book,1
chapter,1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
xii,1
chapter xiii,1
"chapter xiv

    chapter",1
xv,1
chapter xvi,1
chapter xvii,1
chapter xviii,1
chapter xix,1
chapter xx,1
chapter xxi,1
chapter xxii,1
chapter xxiii,1
book,1
chapter,1
"i

    chapter ii

    chapter iii

    chapter",1
chapter vi,1
chapter vii,1
chapter viii,1
chapter ix,1
"chapter x

    chapter",1
"xi

    chapter",1
xii,1
chapter xiii,1
"chapter xiv

    chapter",1
xv,1
chapter xvi,1
chapter xvii,1
chapter xviii,1
chapter xix,1
chapter xx,1
chapter xxi,1
chapter xxii,1
chapter xxiii,1
"chapter xxiv

    chapter xxv

    chapter",1
chapter xxvii,1
